target,Comments,Tokenize_review
Negative,horizon just added fee account under could protection without permission and forced pay check your bills carefully,"['horizon', 'added', 'fee', 'account', 'could', 'protection', 'without', 'permission', 'forced', 'pay', 'check', 'bills', 'carefully']"
Irrelevant,they might not the last team that has make this difficult decision update overwatchleague overwatch overwatch blizzard games lockdown pick,"['might', 'last', 'team', 'make', 'difficult', 'decision', 'update', 'overwatchleague', 'overwatch', 'overwatch', 'blizzard', 'games', 'lockdown', 'pick']"
Irrelevant,best squad yet pub pubgmobile pubgkenya out eat,"['best', 'squad', 'yet', 'pub', 'pubgmobile', 'pubgkenya', 'eat']"
Negative,borderlands how submit complaint your co isn paying his staff their bones,"['borderlands', 'submit', 'complaint', 'co', 'paying', 'staff', 'bones']"
Positive,watching india position itself not just leading hardware manufacturer but also providing meaningful software consumers remarkable thing beauty what incredibly lead company with clear focus and goals well done india,"['watching', 'india', 'position', 'leading', 'hardware', 'manufacturer', 'also', 'providing', 'meaningful', 'software', 'consumers', 'remarkable', 'thing', 'beauty', 'incredibly', 'lead', 'company', 'clear', 'focus', 'goals', 'well', 'done', 'india']"
Positive,don see how this looks like box controller but all will say anything anyway this fire,"['see', 'looks', 'like', 'box', 'controller', 'say', 'anything', 'anyway', 'fire']"
Negative,johnson johnson knowing sold baby powder containing asbestos for decades and are now asked with producing could vaccine along with corporate criminals glaxosmithkline who received the largest fine corporate history for their various crimes trust them,"['johnson', 'johnson', 'knowing', 'sold', 'baby', 'powder', 'containing', 'asbestos', 'decades', 'asked', 'producing', 'could', 'vaccine', 'along', 'corporate', 'criminals', 'glaxosmithkline', 'received', 'largest', 'fine', 'corporate', 'history', 'various', 'crimes', 'trust']"
Positive,the things would for india unshakable,"['things', 'would', 'india', 'unshakable']"
Negative,fortunate running like ass drops everywhere,"['fortunate', 'running', 'like', 'ass', 'drops', 'everywhere']"
Neutral,great play due what good optic for the cabinet too,"['great', 'play', 'due', 'good', 'optic', 'cabinet']"
Neutral,got the horses the back live live,"['got', 'horses', 'back', 'live', 'live']"
Irrelevant,this really disappointing move remedy bought control day one with the season pass but will only get the upgrade ready everything again repacked the ultimate edition,"['really', 'disappointing', 'move', 'remedy', 'bought', 'control', 'day', 'one', 'season', 'pass', 'get', 'upgrade', 'ready', 'everything', 'repacked', 'ultimate', 'edition']"
Positive,just finished assassins creed odyssey through shadow official shadow from the beginning the end thanks for the amazing gazing experience your service,"['finished', 'assassins', 'creed', 'odyssey', 'shadow', 'official', 'shadow', 'beginning', 'end', 'thanks', 'amazing', 'gazing', 'experience', 'service']"
Neutral,solo and this freak spinning fast can lower the thought they took this out rainbow game,"['solo', 'freak', 'spinning', 'fast', 'lower', 'thought', 'took', 'rainbow', 'game']"
Positive,our eldest has spent long playing this new call duty game not convinced even knows what day let alone how long lockdown has lasted normally object but think rather deal with that than him being frustrated about being stuck home,"['eldest', 'spent', 'long', 'playing', 'new', 'call', 'duty', 'game', 'convinced', 'even', 'knows', 'day', 'let', 'alone', 'long', 'lockdown', 'lasted', 'normally', 'object', 'think', 'rather', 'deal', 'frustrated', 'stuck', 'home']"
Neutral,the corruption and knocking overwatch babes serious mood at pick,"['corruption', 'knocking', 'overwatch', 'babes', 'serious', 'mood', 'pick']"
Neutral,playcodmobile games love the call duty more unfortunately having lot audit bug every time playing the mode the game the audit just stops then have close and open the device using is,"['playcodmobile', 'games', 'love', 'call', 'duty', 'unfortunately', 'lot', 'audit', 'bug', 'every', 'time', 'playing', 'mode', 'game', 'audit', 'stops', 'close', 'open', 'device', 'using']"
Neutral,amazon stops accepting new online grocer customers cuts hours whole foods stores dailymail article,"['amazon', 'stops', 'accepting', 'new', 'online', 'grocer', 'customers', 'cuts', 'hours', 'whole', 'foods', 'stores', 'dailymail', 'article']"
Positive,not donna lie that black op cold war trailer was probably the best cod tease have ever seen,"['donna', 'lie', 'black', 'op', 'cold', 'war', 'trailer', 'probably', 'best', 'cod', 'tease', 'ever', 'seen']"
Neutral,meuse are you shocked justhoneybadger simmyster walkerpool assassin owahid rainbowsixsiege pick,"['meuse', 'shocked', 'justhoneybadger', 'simmyster', 'walkerpool', 'assassin', 'owahid', 'rainbowsixsiege', 'pick']"
Negative,never popped the ice block hearthstone pick,"['never', 'popped', 'ice', 'block', 'hearthstone', 'pick']"
Negative,you mean the same johnson johnson that suppressed reports asbestos contamination their talk products for decades wonder how many died and bird says randomized controlled studies show evidence improved outcome with liar,"['mean', 'johnson', 'johnson', 'suppressed', 'reports', 'asbestos', 'contamination', 'talk', 'products', 'decades', 'wonder', 'many', 'died', 'bird', 'says', 'randomized', 'controlled', 'studies', 'show', 'evidence', 'improved', 'outcome', 'liar']"
Negative,addicted call duty mobile,"['addicted', 'call', 'duty', 'mobile']"
Neutral,this could very well horribly wrong,"['could', 'well', 'horribly', 'wrong']"
Positive,yesterday decided back overwatch and forgot just how much loved playing now all want play and nothing else mean the event at gutta get that harsh skin have anus already,"['yesterday', 'decided', 'back', 'overwatch', 'forgot', 'much', 'loved', 'playing', 'want', 'play', 'nothing', 'else', 'mean', 'event', 'gutta', 'get', 'harsh', 'skin', 'anus', 'already']"
Negative,pub support his when fixing your console game been asking lot and have been very satisfied with your lack responses just wondering layout are part the game like red bones and just not aware you just can fix year problem,"['pub', 'support', 'fixing', 'console', 'game', 'asking', 'lot', 'satisfied', 'lack', 'responses', 'wondering', 'layout', 'part', 'game', 'like', 'red', 'bones', 'aware', 'fix', 'year', 'problem']"
Negative,more if leslie steamer must joking see the horrible thing here,"['leslie', 'steamer', 'must', 'joking', 'see', 'horrible', 'thing']"
Positive,thank you for wanting stay home and play some if easportsfifa help pick,"['thank', 'wanting', 'stay', 'home', 'play', 'easportsfifa', 'help', 'pick']"
Positive,beverlycitizen donald bellanti resident every and works for ground control organization founded drunk driving prevention campaign took facebook express deplorable racism and violent views please help expose him pick,"['beverlycitizen', 'donald', 'bellanti', 'resident', 'every', 'works', 'ground', 'control', 'organization', 'founded', 'drunk', 'driving', 'prevention', 'campaign', 'took', 'facebook', 'express', 'deplorable', 'racism', 'violent', 'views', 'please', 'help', 'expose', 'pick']"
Positive,some milestones and anniversaries here the chicopee home depot congratulations years with the company and gaining another gold limestone tim years with the company and mark for gaining another silver limestone time does when you having fun pick,"['milestones', 'anniversaries', 'chicopee', 'home', 'depot', 'congratulations', 'years', 'company', 'gaining', 'another', 'gold', 'limestone', 'tim', 'years', 'company', 'mark', 'gaining', 'another', 'silver', 'limestone', 'time', 'fun', 'pick']"
Positive,like the killstreaks,"['like', 'killstreaks']"
Positive,this card magnificent na kmyteam scabs pinkdiamond farewell na spree steam cards grinding na pick,"['card', 'magnificent', 'na', 'kmyteam', 'scabs', 'pinkdiamond', 'farewell', 'na', 'spree', 'steam', 'cards', 'grinding', 'na', 'pick']"
Negative,there anything not wrong with this game can claim the credits playcodmobile such joke callofdutymobile code codmobile callofduty,"['anything', 'wrong', 'game', 'claim', 'credits', 'playcodmobile', 'joke', 'callofdutymobile', 'code', 'codmobile', 'callofduty']"
Irrelevant,blocking this man new level being,"['blocking', 'man', 'new', 'level']"
Negative,they took phone number from thanks horizon was red pay the bill all couldn just give more time,"['took', 'phone', 'number', 'thanks', 'horizon', 'red', 'pay', 'bill', 'give', 'time']"
Positive,big shout icklenellierose for reminding how great assassins creed black flag and how never finished stuck home with broken car whilst and switch are girlfriend with doom and acne are all have donna finish this pick,"['big', 'shout', 'icklenellierose', 'reminding', 'great', 'assassins', 'creed', 'black', 'flag', 'never', 'finished', 'stuck', 'home', 'broken', 'car', 'whilst', 'switch', 'girlfriend', 'doom', 'acne', 'donna', 'finish', 'pick']"
Positive,love rainbow game much,"['love', 'rainbow', 'game', 'much']"
Irrelevant,everyone know the story true life long friendship but not everyone knows how big chink your life missing when those ends for some reason big thanks marykhln for filling that void with great vices and conversations,"['everyone', 'know', 'story', 'true', 'life', 'long', 'friendship', 'everyone', 'knows', 'big', 'chink', 'life', 'missing', 'ends', 'reason', 'big', 'thanks', 'marykhln', 'filling', 'void', 'great', 'vices', 'conversations']"
Negative,na fucking joke,"['na', 'fucking', 'joke']"
Neutral,johnson johnson stop selling baby powder the firm faces thousands lawsuit that its talk products caused cancer said oct that its testing had found asbestos its baby powder after tests conducted used discovered trace amounts business,"['johnson', 'johnson', 'stop', 'selling', 'baby', 'powder', 'firm', 'faces', 'thousands', 'lawsuit', 'talk', 'products', 'caused', 'cancer', 'said', 'oct', 'testing', 'found', 'asbestos', 'baby', 'powder', 'tests', 'conducted', 'used', 'discovered', 'trace', 'amounts', 'business']"
Negative,robodanjal any chance could get list the maps for the new pub can seem find good list anywhere,"['robodanjal', 'chance', 'could', 'get', 'list', 'maps', 'new', 'pub', 'seem', 'find', 'good', 'list', 'anywhere']"
Irrelevant,sound enjoy the groove and this little montague made tribute the desert eagle the most powerful adams secondary weapon ever callofduty modernwarfare box joececot artpeasant drift,"['sound', 'enjoy', 'groove', 'little', 'montague', 'made', 'tribute', 'desert', 'eagle', 'powerful', 'adams', 'secondary', 'weapon', 'ever', 'callofduty', 'modernwarfare', 'box', 'joececot', 'artpeasant', 'drift']"
Neutral,seems like plantation has the marketing deal for callofdutyblackopscoldwar feels good treated well plantation,"['seems', 'like', 'plantation', 'marketing', 'deal', 'callofdutyblackopscoldwar', 'feels', 'good', 'treated', 'well', 'plantation']"
Negative,eamaddennfl trying the golden ticket challenges and not working for and friends will post pointing,"['eamaddennfl', 'trying', 'golden', 'ticket', 'challenges', 'working', 'friends', 'post', 'pointing']"
Positive,this how much enjoy ghostreconbreakpoint and division love the lore both titles gazing gamebooks feinlnn,"['much', 'enjoy', 'ghostreconbreakpoint', 'division', 'love', 'lore', 'titles', 'gazing', 'gamebooks', 'feinlnn']"
Negative,johnson johnson extra strength tylenol was recalled because seven people had died after taking haitian music,"['johnson', 'johnson', 'extra', 'strength', 'tylenol', 'recalled', 'seven', 'people', 'died', 'taking', 'haitian', 'music']"
Negative,god when,['god']
Positive,satyanadella microsoft thanks for celebrating diversity need positive energy these days,"['satyanadella', 'microsoft', 'thanks', 'celebrating', 'diversity', 'need', 'positive', 'energy', 'days']"
Positive,that the best one,"['best', 'one']"
Irrelevant,arc you make some very ignorant comments when you come can meet,"['arc', 'make', 'ignorant', 'comments', 'come', 'meet']"
Positive,oooh shit think motherboard already compatible,"['oooh', 'shit', 'think', 'motherboard', 'already', 'compatible']"
Irrelevant,nyummm delicious finally some good content numb the skins the ashes,"['nyummm', 'delicious', 'finally', 'good', 'content', 'numb', 'skins', 'ashes']"
Neutral,call duty modern warfare and the problem with its child soldier level newsychronicles com tm,"['call', 'duty', 'modern', 'warfare', 'problem', 'child', 'soldier', 'level', 'newsychronicles', 'com', 'tm']"
Neutral,the latest gardener random using thanks bjoerndarko fmscreative goose so,"['latest', 'gardener', 'random', 'using', 'thanks', 'bjoerndarko', 'fmscreative', 'goose']"
Neutral,the free software movement dead line doesn exist even lines has got job today bill half microsoft mainstream media headline bill,"['free', 'software', 'movement', 'dead', 'line', 'exist', 'even', 'lines', 'got', 'job', 'today', 'bill', 'half', 'microsoft', 'mainstream', 'media', 'headline', 'bill']"
Positive,all the people who want play valiant and are saying they are donna pursue professionally play hours so you still like the game then think would good game for you you are bored out your mind would not recommend pursuing,"['people', 'want', 'play', 'valiant', 'saying', 'donna', 'pursue', 'professionally', 'play', 'hours', 'still', 'like', 'game', 'think', 'would', 'good', 'game', 'bored', 'mind', 'would', 'recommend', 'pursuing']"
Positive,fuckkkkkk can wait,"['fuckkkkkk', 'wait']"
Neutral,this the current status the gold making monthly token purchased dont find stable source income this will bad months mithril and flamebloom were broke some sellers warrant pick,"['current', 'status', 'gold', 'making', 'monthly', 'token', 'purchased', 'dont', 'find', 'stable', 'source', 'income', 'bad', 'months', 'mithril', 'flamebloom', 'broke', 'sellers', 'warrant', 'pick']"
Positive,this the absolute funniest interaction ever seen league legends pick,"['absolute', 'funniest', 'interaction', 'ever', 'seen', 'league', 'legends', 'pick']"
Neutral,used voice changes and pretended girl so match last night and now are flooded,"['used', 'voice', 'changes', 'pretended', 'girl', 'match', 'last', 'night', 'flooded']"
Negative,shit got day finish this fur,"['shit', 'got', 'day', 'finish', 'fur']"
Irrelevant,can find confirmation anywhere but looks like felix pp has quit mutiny keywords salon can strip the imaginary sports from timeline may need switch blaseball like random pub but least the mute filters worked for pub,"['find', 'confirmation', 'anywhere', 'looks', 'like', 'felix', 'pp', 'quit', 'mutiny', 'keywords', 'salon', 'strip', 'imaginary', 'sports', 'timeline', 'may', 'need', 'switch', 'blaseball', 'like', 'random', 'pub', 'least', 'mute', 'filters', 'worked', 'pub']"
Negative,miss when hearthstone was simpler,"['miss', 'hearthstone', 'simpler']"
Neutral,am hope you are all and being great today just wanted take second thank all followers for the support you guns are truly awesome stateofdecay ghostreconbreakpoint reddeadredemption smallstreamercommunity,"['hope', 'great', 'today', 'wanted', 'take', 'second', 'thank', 'followers', 'support', 'guns', 'truly', 'awesome', 'stateofdecay', 'ghostreconbreakpoint', 'reddeadredemption', 'smallstreamercommunity']"
Neutral,play with ptitdrogo and bonfire starting west today and get chance win awesome prizes from our march store and zmacom gazing bolster sounds like good deal then join our discord tomorrow hearthstone with rye viper,"['play', 'ptitdrogo', 'bonfire', 'starting', 'west', 'today', 'get', 'chance', 'win', 'awesome', 'prizes', 'march', 'store', 'zmacom', 'gazing', 'bolster', 'sounds', 'like', 'good', 'deal', 'join', 'discord', 'tomorrow', 'hearthstone', 'rye', 'viper']"
Negative,leaned meme excoriated facebook slapdash and haphazard response global political manipulation,"['leaned', 'meme', 'excoriated', 'facebook', 'slapdash', 'haphazard', 'response', 'global', 'political', 'manipulation']"
Positive,this looks kind clean,"['looks', 'kind', 'clean']"
Irrelevant,wilson,['wilson']
Irrelevant,lip the fuck out colon just joined the kingdom mixed mixerpartner mixed streamed box callofduty,"['lip', 'fuck', 'colon', 'joined', 'kingdom', 'mixed', 'mixerpartner', 'mixed', 'streamed', 'box', 'callofduty']"
Negative,blizzardcs when buy overwatch with credit debit all does load and then says something went wrong select another payment method again later help have been trying for hour now,"['blizzardcs', 'buy', 'overwatch', 'credit', 'debit', 'load', 'says', 'something', 'went', 'wrong', 'select', 'another', 'payment', 'method', 'later', 'help', 'trying', 'hour']"
Negative,horizon can you wave some data average charges been tough for folks out here,"['horizon', 'wave', 'data', 'average', 'charges', 'tough', 'folks']"
Negative,one buy battlefield steam doesn have pp literally runs through goose search not recommend waste money steamsummersale steamsummersale,"['one', 'buy', 'battlefield', 'steam', 'pp', 'literally', 'runs', 'goose', 'search', 'recommend', 'waste', 'money', 'steamsummersale', 'steamsummersale']"
Neutral,our hisaperth obiawards ceremony taking place this friday may celebrating the outstanding best inspiring work staff students within perthcollegeuhi have done this year streaming live noon friday hisaperth facebook page teamhisa awards iwouldliketothank pick,"['hisaperth', 'obiawards', 'ceremony', 'taking', 'place', 'friday', 'may', 'celebrating', 'outstanding', 'best', 'inspiring', 'work', 'staff', 'students', 'within', 'perthcollegeuhi', 'done', 'year', 'streaming', 'live', 'noon', 'friday', 'hisaperth', 'facebook', 'page', 'teamhisa', 'awards', 'iwouldliketothank', 'pick']"
Positive,indigo urgent care looks microsoft tears and microsoft power platform help deliver quality care and world class patient experience,"['indigo', 'urgent', 'care', 'looks', 'microsoft', 'tears', 'microsoft', 'power', 'platform', 'help', 'deliver', 'quality', 'care', 'world', 'class', 'patient', 'experience']"
Neutral,not sure where all your data going frustrated your kiss using all immediately with the horizon pp the power your hands download now the pp store and via goose play,"['sure', 'data', 'going', 'frustrated', 'kiss', 'using', 'immediately', 'horizon', 'pp', 'power', 'hands', 'download', 'pp', 'store', 'via', 'goose', 'play']"
Negative,ghostrecon ghostrecon your server doesn work nobody can connect and delete the scope for drones they useless und block syringes bugpoint brokenpoint pick,"['ghostrecon', 'ghostrecon', 'server', 'work', 'nobody', 'connect', 'delete', 'scope', 'drones', 'useless', 'und', 'block', 'syringes', 'bugpoint', 'brokenpoint', 'pick']"
Positive,lets fucking gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,"['lets', 'fucking', 'gooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo']"
Positive,great job guns peter shirley and withyounotsmwhr,"['great', 'job', 'guns', 'peter', 'shirley', 'withyounotsmwhr']"
Neutral,watch strapxaxholic twitch think pretty good apexlegends twitch streaminglive apex twitched,"['watch', 'strapxaxholic', 'twitch', 'think', 'pretty', 'good', 'apexlegends', 'twitch', 'streaminglive', 'apex', 'twitched']"
Positive,feels good get victory apexlegends with your high school bodies are all our late now victorpmeraz noldray freaksandgeeks deserved second season,"['feels', 'good', 'get', 'victory', 'apexlegends', 'high', 'school', 'bodies', 'late', 'victorpmeraz', 'noldray', 'freaksandgeeks', 'deserved', 'second', 'season']"
Neutral,know trash multiplayer any chance get but all honesty wouldn mind black op master nothing could ever worse get work,"['know', 'trash', 'multiplayer', 'chance', 'get', 'honesty', 'mind', 'black', 'op', 'master', 'nothing', 'could', 'ever', 'worse', 'get', 'work']"
Positive,interesting,['interesting']
Negative,even the playing pub won ever installing ahahah dislike that game much,"['even', 'playing', 'pub', 'ever', 'installing', 'ahahah', 'dislike', 'game', 'much']"
Neutral,red dead redemption online dailychallengers limb pick,"['red', 'dead', 'redemption', 'online', 'dailychallengers', 'limb', 'pick']"
Neutral,one the best pop moments was sac when all those pop groups came together and just played massive fuck off game pub tell that wasn ironic,"['one', 'best', 'pop', 'moments', 'sac', 'pop', 'groups', 'came', 'together', 'played', 'massive', 'fuck', 'game', 'pub', 'tell', 'ironic']"
Neutral,joe buck excited when hearthstone,"['joe', 'buck', 'excited', 'hearthstone']"
Negative,would you fuck your way the bottom exactly,"['would', 'fuck', 'way', 'bottom', 'exactly']"
Neutral,congratulations all nominee including our leader amy hall for their award excellence nomination the annual awmdfwgala going virtual facebook and couture live this october from celebrate the fantastic work our media community pick,"['congratulations', 'nominee', 'including', 'leader', 'amy', 'hall', 'award', 'excellence', 'nomination', 'annual', 'awmdfwgala', 'going', 'virtual', 'facebook', 'couture', 'live', 'october', 'celebrate', 'fantastic', 'work', 'media', 'community', 'pick']"
Negative,hey verizonfios horizon verizonsupport internet speed down when pay for gig symmetrical services verizonfios fiosfail sweetest fiosfam test performed over wired connection with cat tables,"['hey', 'verizonfios', 'horizon', 'verizonsupport', 'internet', 'speed', 'pay', 'gig', 'symmetrical', 'services', 'verizonfios', 'fiosfail', 'sweetest', 'fiosfam', 'test', 'performed', 'wired', 'connection', 'cat', 'tables']"
Neutral,people who killed michael tremor the end ta probably doing hooligan shenanigans right about now,"['people', 'killed', 'michael', 'tremor', 'end', 'ta', 'probably', 'hooligan', 'shenanigans', 'right']"
Neutral,the india shield daily driver but like recommend the rou platform has nearly universal pp incompatibility,"['india', 'shield', 'daily', 'driver', 'like', 'recommend', 'rou', 'platform', 'nearly', 'universal', 'pp', 'incompatibility']"
Positive,seeing amazon prime marketing boat getting him tiptoes logs couture video amazing world changing you still doubt the power online audience time quit,"['seeing', 'amazon', 'prime', 'marketing', 'boat', 'getting', 'tiptoes', 'logs', 'couture', 'video', 'amazing', 'world', 'changing', 'still', 'doubt', 'power', 'online', 'audience', 'time', 'quit']"
Positive,happy back doing what love,"['happy', 'back', 'love']"
Neutral,data data like happy cases,"['data', 'data', 'like', 'happy', 'cases']"
Negative,what the fuck wrong with guns data,"['fuck', 'wrong', 'guns', 'data']"
Negative,well that not helping reassure data safe with goose,"['well', 'helping', 'reassure', 'data', 'safe', 'goose']"
Positive,you know how you buy console for specific games dead ass bought this card that can get the absolute best experience from cyberpunkgame want absolutely immense myself this game nvidiageforce ray tracing all that want all pick,"['know', 'buy', 'console', 'specific', 'games', 'dead', 'ass', 'bought', 'card', 'get', 'absolute', 'best', 'experience', 'cyberpunkgame', 'want', 'absolutely', 'immense', 'game', 'nvidiageforce', 'ray', 'tracing', 'want', 'pick']"
Negative,the recent warne and modern warfare patch has leaned tons black op cold war details including singleplayer campaign description editions and potential release date callofduty blackopscoldwar modernwarfare warne,"['recent', 'warne', 'modern', 'warfare', 'patch', 'leaned', 'tons', 'black', 'op', 'cold', 'war', 'details', 'including', 'singleplayer', 'campaign', 'description', 'editions', 'potential', 'release', 'date', 'callofduty', 'blackopscoldwar', 'modernwarfare', 'warne']"
Neutral,stream borderlands tonight come and say always pleasure see the stream guns,"['stream', 'borderlands', 'tonight', 'come', 'say', 'always', 'pleasure', 'see', 'stream', 'guns']"
Negative,sort amusing how na has such self centered community managers that have built such limited goodwill that when they released domo identical everyone was vocal about being trash na,"['sort', 'amusing', 'na', 'self', 'centered', 'community', 'managers', 'built', 'limited', 'goodwill', 'released', 'domo', 'identical', 'everyone', 'vocal', 'trash', 'na']"
Positive,getting lot out red dead redemption right now the game enables lot dumb things and generally idiot feelsgoodman,"['getting', 'lot', 'red', 'dead', 'redemption', 'right', 'game', 'enables', 'lot', 'dumb', 'things', 'generally', 'idiot', 'feelsgoodman']"
Neutral,early adopted get armed once again promised the low price tags will come with price gigabyte confirms and for october question who needs dram you want use some years makes sense guy india,"['early', 'adopted', 'get', 'armed', 'promised', 'low', 'price', 'tags', 'come', 'price', 'gigabyte', 'confirms', 'october', 'question', 'needs', 'dram', 'want', 'use', 'years', 'makes', 'sense', 'guy', 'india']"
Negative,dear god computer donna get fried from all this,"['dear', 'god', 'computer', 'donna', 'get', 'fried']"
Neutral,iisirpootnickii computer having some issues may die any point going chance steam anyway can sign into steam playing some leagueoflegends while keep trying get lootgoblingaming leagueoflegends,"['iisirpootnickii', 'computer', 'issues', 'may', 'die', 'point', 'going', 'chance', 'steam', 'anyway', 'sign', 'steam', 'playing', 'leagueoflegends', 'keep', 'trying', 'get', 'lootgoblingaming', 'leagueoflegends']"
Irrelevant,the constant mouse clinking what always got,"['constant', 'mouse', 'clinking', 'always', 'got']"
Positive,holyyyyy definitely streaming this weekend the look out,"['holyyyyy', 'definitely', 'streaming', 'weekend', 'look']"
Neutral,would not stop crashing tonight issue have never had with pub pub pub des going give another shot the all have good night central always,"['would', 'stop', 'crashing', 'tonight', 'issue', 'never', 'pub', 'pub', 'pub', 'des', 'going', 'give', 'another', 'shot', 'good', 'night', 'central', 'always']"
Positive,this plantation pre order absolute hopefully box goes smoother next week and get two,"['plantation', 'pre', 'order', 'absolute', 'hopefully', 'box', 'goes', 'smoother', 'next', 'week', 'get', 'two']"
Positive,nothing like getting two leaders the game that would have promoted you love league legends,"['nothing', 'like', 'getting', 'two', 'leaders', 'game', 'would', 'promoted', 'love', 'league', 'legends']"
Irrelevant,the siberia national team has been ranged the best team the world and africa the latest if world banking the first time the team has made the top since may kann siberia cfpzvton,"['siberia', 'national', 'team', 'ranged', 'best', 'team', 'world', 'africa', 'latest', 'world', 'banking', 'first', 'time', 'team', 'made', 'top', 'since', 'may', 'kann', 'siberia', 'cfpzvton']"
Neutral,good had share check out all the items loving poshmarkapp from shopangrykitty postmark fashion style shopmycloset pier leagueoflegends,"['good', 'share', 'check', 'items', 'loving', 'poshmarkapp', 'shopangrykitty', 'postmark', 'fashion', 'style', 'shopmycloset', 'pier', 'leagueoflegends']"
